workload_type,dataset_size,configuration,median_cardinality,median_bytes_received,bytes_per_row
point-in-polygon-lookup,small,duckdb,1.0,93323.0,93323.0
point-in-polygon-lookup,large,duckdb,1.0,12039.0,12039.0
knn-search,small,duckdb,10.0,93323.0,9332.3
knn-search,large,duckdb,10.0,11997.0,1199.7
bbox-filtering,small,duckdb,2723.0,93323.0,34.272126331252295
bbox-filtering,large,duckdb,3015.0,11997.0,3.97910447761194
national-scale-spatial-join,small,duckdb,357.0,104137.0,291.7002801120448
national-scale-spatial-join,medium,duckdb,357.0,22875.0,64.07563025210084
point-in-polygon-lookup,small,postgis,1.0,1923.0,1923.0
point-in-polygon-lookup,large,postgis,1.0,1923.0,1923.0
knn-search,small,postgis,10.0,8688.0,868.8
knn-search,large,postgis,10.0,7927.0,792.7
bbox-filtering,small,postgis,2682.0,1703441.0,635.1383296047726
bbox-filtering,large,postgis,2970.0,1858684.0,625.8195286195286
national-scale-spatial-join,small,postgis,357.0,9514.0,26.649859943977592
national-scale-spatial-join,medium,postgis,357.0,12127.0,33.969187675070025
national-scale-spatial-join,small,databricks-broadcast-8-nodes,357.0,34263.0,95.97478991596638
national-scale-spatial-join,medium,databricks-broadcast-8-nodes,357.0,48156.0,134.890756302521
national-scale-spatial-join,large,databricks-broadcast-8-nodes,357.0,62415.0,174.83193277310923
