strategy,dataset_size,workers,cost_usd,time_s
broadcast,large,12,1.5991509033184492,88.57580375199996
broadcast,medium,12,1.3395694884968274,49.79254799299997
broadcast,small,12,0.858552061325162,14.182209908999994
broadcast,large,16,1.915305674082418,69.76266371400197
broadcast,medium,16,2.163346484726146,38.18057318299998
broadcast,small,16,1.5875219517944825,13.747047119000058
broadcast,large,2,2.253015849297774,452.1688837689999
broadcast,medium,2,1.1545653650498577,203.36492660000113
broadcast,small,2,0.37996401420166925,31.98082870600001
broadcast,large,4,2.1166585094125727,239.0588716100001
broadcast,medium,4,1.0928679659246485,103.62975047500004
broadcast,small,4,0.5257464556296298,20.711961332999635
broadcast,large,8,2.2770805913794474,142.34412046299985
broadcast,medium,8,1.4599225236581004,59.61262916699991
broadcast,small,8,0.9069066422190317,16.782087579000063
partitioned,small,12,28.149152380977647,2758.913465650001
partitioned,small,16,56.806174080351866,2693.8032997069986
partitioned,small,2,11.885844035485215,2714.288331879001
partitioned,small,4,17.978167577678477,2676.259132741
partitioned,small,8,29.611917220069802,2539.1249434070014
