strategy,dataset_size,workers,efficiency
broadcast,large,2,1.0
broadcast,large,4,0.945727051926077
broadcast,large,8,0.7941474545949619
broadcast,large,12,0.8508133986474276
broadcast,large,16,0.8101914041418792
broadcast,medium,2,1.0
broadcast,medium,4,0.9812091878435117
broadcast,medium,8,0.8528600794904168
broadcast,medium,12,0.6807073708720126
broadcast,medium,16,0.6657997433186453
broadcast,small,2,1.0
broadcast,small,4,0.7720376692439573
broadcast,small,8,0.4764131481773846
broadcast,small,12,0.3758326912284789
broadcast,small,16,0.2907972565777298
partitioned,small,2,1.0
partitioned,small,4,0.5071049172093907
partitioned,small,8,0.2672464325679229
partitioned,small,12,0.16397085094509078
partitioned,small,16,0.12595056273105718
