dataset_size,workers,shuffle_read_bytes,shuffle_write_bytes
large,2,12839588209.0,12839465942.0
large,4,12839707727.0,12839464522.0
large,8,12839398734.0,12838912098.0
large,12,19257468350.5,19256384328.5
large,16,12837381046.0,12836431457.5
medium,2,5347067737.0,5346946158.0
medium,4,5346509815.0,5346265815.0
medium,8,10691552007.0,10691064604.0
medium,12,8019823259.5,8018725360.0
medium,16,5347233620.0,5346258765.0
small,2,525448668.0,525326730.0
small,4,1050915776.0,1050432437.0
small,8,1050954530.0,1050018034.0
small,12,1052016580.5,1050608497.5
small,16,526503103.0,525550590.0
