strategy,dataset_size,workers,speedup
broadcast,large,2,1.0
broadcast,large,4,1.891454103852154
broadcast,large,8,3.1765898183798478
broadcast,large,12,5.104880391884565
broadcast,large,16,6.481531233135033
broadcast,medium,2,1.0
broadcast,medium,4,1.9624183756870235
broadcast,medium,8,3.411440317961667
broadcast,medium,12,4.084244225232076
broadcast,medium,16,5.326397946549163
broadcast,small,2,1.0
broadcast,small,4,1.5440753384879147
broadcast,small,8,1.9056525927095385
broadcast,small,12,2.2549961473708735
broadcast,small,16,2.3263780526218385
partitioned,small,2,1.0
partitioned,small,4,1.0142098344187813
partitioned,small,8,1.0689857302716916
partitioned,small,12,0.9838251056705447
partitioned,small,16,1.0076045018484574
