strategy,dataset_size,workers,metric,value,ci_low,ci_high
broadcast,small,2,min_time_s,31.98082870600001,31.98082870600001,34.25918368800001
broadcast,small,4,min_time_s,20.711961332999635,20.711961332999635,22.65740771899982
broadcast,small,8,min_time_s,16.782087579000063,16.782087579000063,17.798540428000706
broadcast,small,12,min_time_s,14.182209908999994,14.182209908999994,15.646619414997986
broadcast,small,16,min_time_s,13.747047119000058,13.747047119000058,14.186281845999474
partitioned,small,2,min_time_s,2714.288331879001,2714.288331879001,2767.2785492900002
partitioned,small,4,min_time_s,2676.259132741,2676.259132741,2718.437709232
partitioned,small,8,min_time_s,2539.1249434070014,2539.1249434070014,2733.243957116
partitioned,small,12,min_time_s,2758.913465650001,2758.913465650001,2760.637983369
partitioned,small,16,min_time_s,2693.8032997069986,2693.8032997069986,2756.3490158470004
broadcast,small,2,total_cost_usd,0.37996401420166925,,
broadcast,small,4,total_cost_usd,0.5257464556296298,,
broadcast,small,8,total_cost_usd,0.9069066422190317,,
broadcast,small,12,total_cost_usd,0.858552061325162,,
broadcast,small,16,total_cost_usd,1.5875219517944825,,
partitioned,small,2,total_cost_usd,11.885844035485215,,
partitioned,small,4,total_cost_usd,17.978167577678477,,
partitioned,small,8,total_cost_usd,29.611917220069802,,
partitioned,small,12,total_cost_usd,28.149152380977647,,
partitioned,small,16,total_cost_usd,56.806174080351866,,
