kind,strategy,dataset_size,workers,min_time_s,configuration
distributed,broadcast,large,2.0,452.1688837689999,
distributed,broadcast,large,4.0,239.0588716100001,
distributed,broadcast,large,8.0,142.34412046299985,
distributed,broadcast,large,12.0,88.57580375199996,
distributed,broadcast,large,16.0,69.76266371400197,
distributed,broadcast,medium,2.0,203.36492660000113,
distributed,broadcast,medium,4.0,103.62975047500004,
distributed,broadcast,medium,8.0,59.61262916699991,
distributed,broadcast,medium,12.0,49.79254799299997,
distributed,broadcast,medium,16.0,38.18057318299998,
distributed,broadcast,small,2.0,31.98082870600001,
distributed,broadcast,small,4.0,20.711961332999635,
distributed,broadcast,small,8.0,16.782087579000063,
distributed,broadcast,small,12.0,14.182209908999994,
distributed,broadcast,small,16.0,13.747047119000058,
distributed,partitioned,small,2.0,2714.288331879001,
distributed,partitioned,small,4.0,2676.259132741,
distributed,partitioned,small,8.0,2539.1249434070014,
distributed,partitioned,small,12.0,2758.913465650001,
distributed,partitioned,small,16.0,2693.8032997069986,
single_node,,medium,,1386.335994906,duckdb
single_node,,small,,144.23182930599998,duckdb
single_node,,medium,,2177.3248283970006,postgis
single_node,,small,,13.365155059000003,postgis
