workload_type,dataset_size,configuration,rank
bbox-filtering,large,postgis,1
bbox-filtering,large,duckdb,2
bbox-filtering,small,postgis,1
bbox-filtering,small,local,2
bbox-filtering,small,duckdb,3
knn-search,large,postgis,1
knn-search,large,duckdb,2
knn-search,small,postgis,1
knn-search,small,duckdb,2
knn-search,small,local,3
national-scale-spatial-join,large,sedona,1
national-scale-spatial-join,medium,sedona,1
national-scale-spatial-join,medium,duckdb,2
national-scale-spatial-join,medium,postgis,3
national-scale-spatial-join,small,postgis,1
national-scale-spatial-join,small,sedona,2
national-scale-spatial-join,small,duckdb,3
point-in-polygon-lookup,large,postgis,1
point-in-polygon-lookup,large,duckdb,2
point-in-polygon-lookup,small,postgis,1
point-in-polygon-lookup,small,local,2
point-in-polygon-lookup,small,duckdb,3
