dataset_size,workload_type,configuration,min_time_s,ci_low,ci_high
small,point-in-polygon-lookup,duckdb,1.327399279000005,1.327399279000005,1.3393782790000017
small,knn-search,duckdb,0.7460472449999997,0.7460472449999997,0.7469598760000054
small,bbox-filtering,duckdb,1.05492897500001,1.05492897500001,1.0607572360000006
small,point-in-polygon-lookup,postgis,0.0016057990000000189,0.0016427879999980632,0.0017162550000016097
small,knn-search,postgis,0.0016826290000011568,0.0017750880000022562,0.0018015749999946706
small,bbox-filtering,postgis,0.027331008000000878,0.027362243000000674,0.028097938999998462
small,point-in-polygon-lookup,local,0.3426641980000227,0.34308742299998585,0.3434589770000116
small,knn-search,local,47.816030732,47.816030732,48.21015185300007
small,bbox-filtering,local,0.05209722500001135,0.052592597000000296,0.052915072999994095
large,point-in-polygon-lookup,duckdb,29.919311816999993,29.919311816999993,30.190553495000017
large,knn-search,duckdb,15.736374125999987,15.736374125999987,15.796598061999987
large,bbox-filtering,duckdb,22.826123492000022,22.826123492000022,22.920323620000033
large,point-in-polygon-lookup,postgis,0.0014888819999967495,0.001603074000001925,0.0017124969999997575
large,knn-search,postgis,0.001617357999997182,0.0017046080000042707,0.001767083000004277
large,bbox-filtering,postgis,0.03893694599999975,0.0400575279999984,0.04061831599999266
