workload_type,configuration,dataset_size,compute_cost,storage_cost,operations_cost,network_cost,total_cost
point-in-polygon-lookup,duckdb,small,0.208636122618,1.3578118173346045e-05,0.002319,0.0,0.21096870073617333
point-in-polygon-lookup,duckdb,large,1.7171257649328,0.002621725492251653,0.000465,0.0,1.7202124904250518
point-in-polygon-lookup,postgis,small,0.38773026326266663,0.007269476711178299,0.0,0.0,0.39499973997384497
point-in-polygon-lookup,postgis,large,0.3877506890836444,0.007269860586616793,0.0,0.0,0.39502054967026123
point-in-polygon-lookup,local,small,0.1645709452056,0.0,0.0,0.0,0.1645709452056
knn-search,duckdb,small,0.1712823219756,1.1147118627429643e-05,0.002319,0.0,0.17361246909422742
knn-search,duckdb,large,1.1439029190888,0.0017465228842766525,0.000465,0.0,1.1461144419730767
knn-search,postgis,small,0.3897226828262222,0.007306832132721703,0.0,0.0,0.3970295149589439
knn-search,postgis,large,0.3877868289436444,0.007270537263199024,0.0,0.0,0.39505736620684345
knn-search,local,small,3.3274160283275998,0.0,0.0,0.0,3.3274160283275998
bbox-filtering,duckdb,small,0.18232791500520001,1.1865970020796445e-05,0.002319,0.0,0.18465878097522082
bbox-filtering,duckdb,large,1.4183232935328,0.0021655107685457087,0.000465,0.0,1.4209538043013459
bbox-filtering,postgis,small,0.3888129188584889,0.007289776214479698,0.0,0.0,0.3961026950729686
bbox-filtering,postgis,large,0.3892560274080889,0.007298083265519287,0.0,0.0,0.3965541106736082
bbox-filtering,local,small,0.2034068837328,0.0,0.0,0.0,0.2034068837328
