workload_type,dataset_size,configuration,metric,estimator,value,ci_low,ci_high,n
point-in-polygon-lookup,small,duckdb,elapsed_time,min,1.327399279000005,1.327399279000005,1.3393782790000017,1282
point-in-polygon-lookup,small,postgis,elapsed_time,min,0.0016057990000000189,0.0016383890000000179,0.0017012639999975931,79186
point-in-polygon-lookup,small,local,elapsed_time,min,0.3426641980000227,0.3430155140000011,0.34362027499997794,4491
point-in-polygon-lookup,large,duckdb,elapsed_time,min,29.919311816999993,29.919311816999993,30.190553495000017,345
point-in-polygon-lookup,large,postgis,elapsed_time,min,0.0014888819999967495,0.0015581109999942555,0.001674745999999061,75052
knn-search,small,duckdb,elapsed_time,min,0.7460472449999997,0.7460472449999997,0.7469598760000054,2041
knn-search,small,postgis,elapsed_time,min,0.0016826290000011568,0.0017275590000025431,0.0017742660000052979,76103
knn-search,small,local,elapsed_time,min,47.816030732,47.816030732,48.21015185300007,445
knn-search,large,duckdb,elapsed_time,min,15.736374125999987,15.736374125999987,15.796598061999987,439
knn-search,large,postgis,elapsed_time,min,0.001617357999997182,0.0017027650000045469,0.0017480839999990394,76521
bbox-filtering,small,duckdb,elapsed_time,min,1.05492897500001,1.05492897500001,1.0607572360000006,1571
bbox-filtering,small,postgis,elapsed_time,min,0.027331008000000878,0.027604633000001044,0.0282878740000001,30785
bbox-filtering,small,local,elapsed_time,min,0.05209722500001135,0.052412420999999654,0.0528032949999897,21185
bbox-filtering,large,duckdb,elapsed_time,min,22.826123492000022,22.826123492000022,22.920323620000033,382
bbox-filtering,large,postgis,elapsed_time,min,0.03893694599999975,0.04005477000000468,0.04049921099999665,24805
