workload_type,dataset_size,configuration,cpu_user_s,cpu_system_s,elapsed_s,cpu_wall_ratio
point-in-polygon-lookup,small,duckdb,8109.76,77.15,2154.377785846,3.8001273749604194
point-in-polygon-lookup,large,duckdb,49162.35,247.09999999999997,12859.23952813,3.842330636420236
knn-search,small,duckdb,6667.449999999999,73.80000000000001,1804.0501649070002,3.7367309020187442
knn-search,large,duckdb,35472.11,235.96999999999997,9300.706824567002,3.8392866986926455
bbox-filtering,small,duckdb,6981.4400000000005,71.56,1910.165527702,3.692350164273471
bbox-filtering,large,duckdb,41128.380000000005,310.32,10902.889707826,3.800707987558167
point-in-polygon-lookup,small,postgis,37.07999999999999,6.090000000000002,322.0317915749997,0.134055087508172
point-in-polygon-lookup,large,postgis,40.96999999999993,7.219999999999999,318.03854697400027,0.15152251341388334
knn-search,small,postgis,41.50999999999993,6.719999999999999,339.2173063749997,0.1421802457999663
knn-search,large,postgis,42.75999999999996,6.82,324.3033001860001,0.1528815771272262
bbox-filtering,small,postgis,360.1300000000001,69.28999999999999,1117.9845502089988,0.3841019090288173
bbox-filtering,large,postgis,337.0100000000003,57.99,1240.5863357270005,0.3183978322383544
point-in-polygon-lookup,small,local,1810.31,0.36999999999999655,1810.1071980600002,1.0003164464185401
knn-search,small,local,27096.760000000002,1822.9800000000002,28924.384700823997,0.9998394192003723
bbox-filtering,small,local,1262.08,134.69,1394.147256891,1.0018812525692937
