workload_type,dataset_size,configuration,cv
bbox-filtering,large,duckdb,0.18084595558642308
bbox-filtering,large,postgis,0.368123245736505
bbox-filtering,small,duckdb,0.16489879611628927
bbox-filtering,small,local,0.4434465531008514
bbox-filtering,small,postgis,0.3857760419393413
knn-search,large,duckdb,0.4089218104935796
knn-search,large,postgis,0.4699073355205427
knn-search,small,duckdb,0.2286320922673125
knn-search,small,local,0.2857811162490711
knn-search,small,postgis,0.4951257878563039
national-scale-spatial-join,large,databricks-broadcast-12-nodes,0.04314922040179922
national-scale-spatial-join,large,databricks-broadcast-16-nodes,0.12329982089942691
national-scale-spatial-join,large,databricks-broadcast-2-nodes,0.05979890476483773
national-scale-spatial-join,large,databricks-broadcast-4-nodes,0.10198003331982987
national-scale-spatial-join,large,databricks-broadcast-8-nodes,0.08316637608509458
national-scale-spatial-join,medium,databricks-broadcast-12-nodes,0.1125339734380127
national-scale-spatial-join,medium,databricks-broadcast-16-nodes,0.03787469831234567
national-scale-spatial-join,medium,databricks-broadcast-2-nodes,0.0637302567014953
national-scale-spatial-join,medium,databricks-broadcast-4-nodes,0.045514947315580395
national-scale-spatial-join,medium,databricks-broadcast-8-nodes,0.12782650634208043
national-scale-spatial-join,medium,duckdb,0.08241160802043841
national-scale-spatial-join,medium,postgis,0.0829137782820572
national-scale-spatial-join,small,databricks-broadcast-12-nodes,0.06475022195546115
national-scale-spatial-join,small,databricks-broadcast-16-nodes,0.06269287668573986
national-scale-spatial-join,small,databricks-broadcast-2-nodes,0.05282490744141589
national-scale-spatial-join,small,databricks-broadcast-4-nodes,0.0673838116694368
national-scale-spatial-join,small,databricks-broadcast-8-nodes,0.07392030227920159
national-scale-spatial-join,small,databricks-partitioned-12-nodes,0.023337387627449264
national-scale-spatial-join,small,databricks-partitioned-16-nodes,0.11906438414729777
national-scale-spatial-join,small,databricks-partitioned-2-nodes,0.014884797022224458
national-scale-spatial-join,small,databricks-partitioned-4-nodes,0.08319652473858184
national-scale-spatial-join,small,databricks-partitioned-8-nodes,0.032182729118147124
national-scale-spatial-join,small,duckdb,0.17105302300249062
national-scale-spatial-join,small,postgis,0.006357403921221296
point-in-polygon-lookup,large,duckdb,0.16723953892310436
point-in-polygon-lookup,large,postgis,0.4940920878931795
point-in-polygon-lookup,small,duckdb,0.2652135664400491
point-in-polygon-lookup,small,local,0.21980845210599578
point-in-polygon-lookup,small,postgis,0.40736725371925436
