workload_type,configuration,dataset_size,min_time_s,ci_low,ci_high
point-in-polygon-lookup,duckdb,small,1.327399279000005,1.327399279000005,1.3393782790000017
point-in-polygon-lookup,duckdb,large,29.919311816999993,29.919311816999993,30.190553495000017
point-in-polygon-lookup,postgis,small,0.0016057990000000189,0.0016281409999976404,0.0016968669999997132
point-in-polygon-lookup,postgis,large,0.0014888819999967495,0.0015858960000016964,0.001676390000000083
point-in-polygon-lookup,local,small,0.3426641980000227,0.3426641980000227,0.34343044799999234
knn-search,duckdb,small,0.7460472449999997,0.7460472449999997,0.7469598760000054
knn-search,duckdb,large,15.736374125999987,15.736374125999987,15.796598061999987
knn-search,postgis,small,0.0016826290000011568,0.0017887130000033835,0.0018158840000026544
knn-search,postgis,large,0.001617357999997182,0.0016682889999941608,0.0017803579999977615
knn-search,local,small,47.816030732,47.816030732,48.21015185300007
bbox-filtering,duckdb,small,1.05492897500001,1.05492897500001,1.0607572360000006
bbox-filtering,duckdb,large,22.826123492000022,22.826123492000022,22.920323620000033
bbox-filtering,postgis,small,0.027331008000000878,0.02756141200000073,0.02811932399999506
bbox-filtering,postgis,large,0.03893694599999975,0.03936541000000027,0.0400575279999984
bbox-filtering,local,small,0.05209722500001135,0.05247208300001205,0.052804598000008696
