worker_count,stage_index,median_duration_s
2,0,1.563
2,1,49.227
2,2,152.748
2,3,0.893
2,4,1.203
2,5,0.693
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
4,0,2.958
4,1,25.355
4,2,84.88
4,3,0.708
4,4,0.793
4,5,0.454
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
8,0,3.061
8,1,13.505
8,2,50.077
8,3,0.505
8,4,0.613
8,5,0.416
8,6,0.107
8,7,0.078
8,8,0.072
8,9,0.135
8,10,0.177
8,11,0.118
8,12,0.033
8,13,0.144
8,14,0.19
8,15,1.407
8,16,13.343
8,17,40.456
12,0,7.08
12,1,16.715
12,2,45.444
12,3,0.5945
12,4,0.656
12,5,0.431
12,6,0.0975
12,7,0.051
12,8,0.0655
12,9,0.0515
12,10,0.0935
12,11,0.082
12,12,0.0455
12,13,0.0985
12,14,0.088
12,15,1.3315
12,16,4.7405
12,17,19.5905
16,0,2.97
16,1,7.944
16,2,28.835
16,3,0.442
16,4,0.475
16,5,0.29
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
