worker_count,stage_index,median_duration_s
2,0,2.001
2,1,6.285
2,2,21.365
2,3,0.9
2,4,0.999
2,5,0.918
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
4,0,2.876
4,1,3.515
4,2,13.776
4,3,0.981
4,4,0.778
4,5,0.452
4,6,0.029
4,7,0.035
4,8,0.039
4,9,0.031
4,10,0.033
4,11,0.022
4,12,0.032
4,13,0.422
4,14,0.057
4,15,0.053
4,16,1.351
4,17,3.045
4,18,12.564
4,19,0.523
4,20,0.62
4,21,0.396
8,0,2.619
8,1,2.933
8,2,10.499
8,3,0.595
8,4,0.669
8,5,0.772
8,6,0.03
8,7,0.067
8,8,0.032
8,9,0.07
8,10,0.077
8,11,0.038
8,12,0.039
8,13,0.278
8,14,0.053
8,15,0.136
8,16,1.765
8,17,2.429
8,18,8.63
8,19,0.445
8,20,0.566
8,21,0.0
12,0,2.758
12,1,2.9005
12,2,7.8995
12,3,0.456
12,4,0.8005
12,5,0.384
12,6,0.1175
12,7,0.071
12,8,0.0885
12,9,0.08
12,10,0.167
12,11,0.121
12,12,0.0625
12,13,0.25
12,14,0.0745
12,15,0.1185
12,16,2.2495
12,17,2.678
12,18,7.468
12,19,0.405
12,20,0.4225
12,21,0.0
16,0,3.287
16,1,2.883
16,2,7.382
16,3,0.382
16,4,0.753
16,5,0.346
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
16,21,0.0
