worker_count,stage_index,median_duration_s
2,0,0.815
2,1,0.395
2,2,7.491
2,3,2.593
2,4,9.616
2,5,2804.241
2,6,0.718
2,7,0.824
2,8,0.718
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
4,0,1.823
4,1,0.81
4,2,3.856
4,3,4.863
4,4,5.305
4,5,2727.063
4,6,0.551
4,7,0.645
4,8,0.556
4,9,0.037
4,10,0.058
4,11,0.042
4,12,0.041
4,13,0.05
4,14,0.034
4,15,0.033
4,16,0.43
4,17,0.06
4,18,0.059
4,19,0.827
4,20,0.648
4,21,3.536
4,22,1.906
4,23,4.613
4,24,2695.936
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
4,33,0.0
4,34,0.0
4,35,0.0
4,36,0.0
4,37,0.0
4,38,0.0
4,39,0.0
4,40,0.0
4,41,0.0
4,42,0.0
4,43,0.0
8,0,1.754
8,1,1.573
8,2,3.059
8,3,2.801
8,4,4.074
8,5,2776.947
8,6,0.323
8,7,0.383
8,8,0.365
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
8,27,0.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,0.0
8,33,0.0
8,34,0.0
8,35,0.0
8,36,0.0
8,37,0.0
8,38,0.0
8,39,0.0
8,40,0.0
8,41,0.0
8,42,0.0
8,43,0.0
12,0,5.031
12,1,5.535
12,2,9.939
12,3,2.97
12,4,3.502
12,5,2781.1975
12,6,1.08
12,7,0.587
12,8,0.524
12,9,0.151
12,10,0.066
12,11,0.066
12,12,0.103
12,13,0.142
12,14,0.112
12,15,0.084
12,16,0.377
12,17,0.107
12,18,0.118
12,19,1.031
12,20,1.55
12,21,2.652
12,22,1.571
12,23,1.883
12,24,2750.424
12,25,0.294
12,26,0.353
12,27,0.272
12,28,0.112
12,29,0.078
12,30,0.036
12,31,0.062
12,32,0.126
12,33,0.113
12,34,0.037
12,35,0.255
12,36,0.071
12,37,0.057
12,38,1.772
12,39,0.718
12,40,2.502
12,41,1.591
12,42,1.436
12,43,2748.432
16,0,1.817
16,1,1.698
16,2,2.784
16,3,1.631
16,4,2.45
16,5,2746.409
16,6,0.251
16,7,0.252
16,8,0.244
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
16,21,0.0
16,22,0.0
16,23,0.0
16,24,0.0
16,25,0.0
16,26,0.0
16,27,0.0
16,28,0.0
16,29,0.0
16,30,0.0
16,31,0.0
16,32,0.0
16,33,0.0
16,34,0.0
16,35,0.0
16,36,0.0
16,37,0.0
16,38,0.0
16,39,0.0
16,40,0.0
16,41,0.0
16,42,0.0
16,43,0.0
