worker_count,stage_index,median_duration_s
2,0,1.668
2,1,105.503
2,2,351.552
2,3,0.778
2,4,1.1
2,5,0.741
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
4,0,2.628
4,1,58.338
4,2,197.521
4,3,0.608
4,4,0.797
4,5,0.451
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
8,0,2.768
8,1,31.355
8,2,111.603
8,3,0.482
8,4,0.573
8,5,0.35
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
12,0,2.895
12,1,27.152
12,2,65.88
12,3,0.384
12,4,0.481
12,5,0.312
12,6,0.053
12,7,0.0355
12,8,0.016
12,9,0.046
12,10,0.0635
12,11,0.0655
12,12,0.0165
12,13,0.106
12,14,0.066
12,15,1.4745
12,16,9.7715
12,17,33.5295
16,0,2.875
16,1,14.384
16,2,60.8405
16,3,0.323
16,4,0.37
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
